ISic,As,Au,Ba,Ca,Co,Cr,Cu,Fe,Hg,K,Mn,Ni,Pb,Rb,Sr,Ti,V,Y,Zn,Zr,SiO2,TiO2,Fe2O3,MnO,CaO,K2O
ISic001831,5.3187352500000005,5.62063314,0.7085798253000001,68.65251,0.024427726323,17.7421503,44.16,11.823196624620905,7.96410605,0.8668674,0.0040406684,2.262,11.8767495,3.92673079,105.973635,0.0204185796,11.82,10.47355209,11.34836487,12.36373595,,,,,,
ISic001831,1252.108113,9.972356419999999,63.85790839999999,80.12260500000001,0.00312204876368,17.83160652,48.779999999999994,31.11681025533762,2123.41885,0.9558161999999999,0.0040888864,15.15,1246.28748,0.0309992449,151.873872,0.017307283200000002,10.1,0.0612839162,0.04626002415,17.3402916,,,,,,
ISic001831,4.320369726,6.32809666,30.11420126,86.985055,0.1957440597,23.735717039999997,54.089999999999996,29.751715913736458,9.54047462,1.3039433999999999,0.0024374199,6.052,21.614655799999998,7.42448092,167.347323,0.0327819868,0.044239999999999995,9.21356662,12.30833172,15.7467134,,,,,,
ISic001831,4.0635137310000005,10.5502554,17.986345,126.01699000000002,0.27076433369999997,27.9302198,68.94999999999999,47.556340167365846,10.7250647,1.8474129,0.0076039786,1.9829999999999999,34.3757347,10.30392373,264.47898599999996,0.06783890000000001,11.69,7.95481522,35.155542749999995,13.136216229999999,,,,,,
ISic001837,15.86280357,9.03249936,157.20053910000001,90.92046,0.068799124128,24.5010647,68.59,11.320726383309278,12.3806116,0.9462312,0.0017310262,2.939,15.537461899999998,6.99909507,181.260426,0.022091319600000003,10.28,10.9091788,9.73977177,15.665684,,,,,,
ISic001837,6.0192516000000005,8.53275042,375.5036414,90.29023500000001,0.3431925,20.81348052,51.42,13.303536877377152,11.2906242,1.0480238999999998,0.0029581742999999997,6.89,15.218691999999999,9.61611675,179.570049,0.047505816,1.3430000000000002,5.8988546,7.85616114,11.22527288,,,,,,
ISic001837,3.012739206,7.09211613,77.9463151,98.049005,0.35120785280000005,35.0370195,53.52,14.363527043141783,8.80113411,1.2096269999999998,0.0037200187,3.195,13.3060726,6.52937323,188.672079,0.046241968,0.4608,8.44967729,7.61746668,6.637658350000001,,,,,,
ISic001838,0.62787021,10.4165777,42.27609876,98.07701500000002,0.005518340381750001,21.0719096,67.0,90.23077678375226,10.899874,1.7224244999999998,0.009050518600000002,1.858,25.511874900000002,7.938538749999999,235.222461,0.04650217200000001,0.4375,8.34971762,25.88278188,12.3569835,,,,,,
ISic001838,3.0521756819999997,9.367721900000001,57.844634760000005,81.523105,0.057100415232000004,23.4574088,64.75999999999999,57.35611523717354,12.905039499999999,1.2711626999999999,0.0068445451,4.754,18.8691215,6.91881098,214.02773399999998,0.039067772,4.498,6.16664779,14.70046533,10.42308182,,,,,,
ISic001838,9.00812136,8.67568273,34.2346261,64.25494,0.7730647925,25.87272674,64.69000000000001,255.62196285279126,11.3934532,1.3854159,0.0076232658,0.05942,32.0312335,6.74026875,501.521853,0.094565568,26.18,6.0716244,60.9708675,2.0149310799999998,,,,,,
ISic001838,37.822693890000004,7008.82464,72.70715650000001,70.64122,1.0879309077,17.25511088,71.96,114.88782660202881,30.622476199999998,1.0865556,0.0026833317,2.6460000000000004,13.6248425,1.179457161,615.8173439999999,0.045572872,3.1999999999999997,10.28844159,0.528241218,3.78542347,,,,,,
ISic001838,16.41283863,1695.65021,95.81175449999999,79.49238000000001,0.006489338996279999,34.71895294,48.19,126.37239299136976,14.097855899999999,1.2980007,0.0059693884,0.7349,19.743168,0.331681136,641.563086,0.039774040000000004,7.913,6.90955793,0.1251589212,0.060772049999999994,,,,,,
ISic001838,0.776275896,2999.5219300000003,20.476972179999997,73.20413500000001,0.5067079752,28.09919266,63.5,172.7592791470261,16.6274493,1.2086685,0.0080644605,0.14980000000000002,18.2521475,0.741129995,586.820877,0.07471572000000001,3.403,10.95607346,0.3936382986,2.01763206,,,,,,
ISic001839,1.090729902,7.81808887,47.31088846,77.05551000000001,0.6885982677,24.80919168,63.55,24.171521293661325,9.47980551,1.1569095,0.0052340639000000005,4.372,14.385777100000002,7.90378892,97.7037906,0.05899196400000001,0.42669999999999997,8.98032739,14.69527632,10.764755789999999,,,,,,
ISic001839,3.3728564999999997,6.7682047800000005,80.9855116,77.81178,0.055116099675,23.079704760000002,55.9,54.93483906430521,7.46127224,1.1120516999999999,0.0063093253,9.158,17.7071538,7.89779757,338.98560299999997,0.0108021832,5.338,6.714574870000001,19.90504236,10.43793721,,,,,,
ISic001839,1.667747814,12.7919276,76.9359496,88.637645,0.6623634528,19.580972600000003,70.32000000000001,68.3738773914628,13.912763700000001,1.3833072,0.0061526168,6.226,24.8229206,7.09974975,321.43168799999995,0.038101300000000005,15.950000000000001,6.70963859,16.54775289,10.664819529999999,,,,,,
ISic001839,0.7991075400000001,4153.26331,74.91926860000001,50.24994,0.026332722843,20.7240243,62.06999999999999,127.55735196540877,8.60575901,1.0326879,0.0050942317,2.79,12.2572168,0.45965637200000004,254.33672399999998,0.058917620000000004,2.638,8.37069681,0.3381158916,2.3512030900000003,,,,,,
